filename,beard,mustache,glasses_binary,hair_color_label,hair_length
s1_00000.png,1,1,1,0,1
s1_00001.png,0,0,1,0,2
s1_00002.png,0,0,0,4,2
s1_00003.png,1,1,0,1,1
s1_00004.png,0,0,0,0,1
s1_00005.png,0,0,0,1,2
s1_00006.png,1,1,0,1,1
s1_00007.png,1,1,1,1,2
s1_00008.png,0,0,1,4,2
s1_00009.png,0,0,0,0,2
s1_00010.png,0,0,0,1,2
s1_00011.png,1,1,0,0,1
s1_00012.png,0,0,1,4,1
s1_00013.png,0,0,1,1,1
s1_00014.png,0,0,1,0,0
s1_00015.png,1,1,0,0,1
s1_00016.png,0,0,1,3,2
s1_00017.png,1,1,1,1,1
s1_00018.png,1,1,0,1,2
s1_00019.png,0,0,0,4,1
s1_00020.png,0,0,1,1,1
s1_00021.png,0,0,1,1,2
s1_00022.png,1,1,1,1,2
s1_00023.png,0,0,0,3,2
s1_00024.png,0,0,0,4,2
s1_00025.png,0,0,0,1,1
s1_00026.png,0,0,0,0,1
s1_00027.png,1,0,1,1,1
s1_00028.png,0,0,0,1,2
s1_00029.png,0,0,0,2,1
s1_00030.png,1,1,0,0,2
s1_00031.png,0,0,0,0,1
s1_00032.png,0,0,0,0,2
s1_00033.png,0,0,0,1,0
s1_00034.png,0,0,1,1,2
s1_00035.png,1,1,1,3,2
s1_00036.png,0,0,0,0,2
s1_00037.png,0,1,1,1,1
s1_00038.png,0,0,1,0,0
s1_00039.png,0,0,0,0,1
s1_00040.png,0,0,0,1,0
s1_00041.png,1,0,0,4,2
s1_00042.png,0,0,0,3,2
s1_00043.png,0,0,1,4,2
s1_00044.png,1,0,0,0,1
s1_00045.png,1,0,0,1,2
s1_00046.png,1,0,0,0,1
s1_00047.png,0,0,1,3,0
s1_00048.png,0,0,1,1,2
s1_00049.png,0,0,1,1,1
s1_00050.png,0,0,1,3,2
s1_00051.png,0,1,0,4,2
s1_00052.png,0,0,0,4,2
s1_00053.png,1,0,0,1,1
s1_00054.png,0,0,0,1,2
s1_00055.png,1,1,1,1,2
s1_00056.png,1,1,0,0,2
s1_00057.png,1,1,0,1,2
s1_00058.png,0,0,1,0,2
s1_00059.png,1,0,1,4,2
s1_00060.png,1,1,0,3,2
s1_00061.png,0,1,1,0,0
s1_00062.png,1,1,0,4,1
s1_00063.png,0,0,1,0,2
s1_00064.png,0,0,0,3,1
s1_00065.png,1,1,0,0,0
s1_00066.png,0,0,0,1,2
s1_00067.png,0,0,0,0,1
s1_00068.png,0,0,0,0,1
s1_00069.png,0,0,0,4,2
s1_00070.png,0,0,0,3,1
s1_00071.png,1,0,1,0,1
s1_00072.png,0,0,1,3,2
s1_00073.png,1,1,1,2,2
s1_00074.png,1,1,0,3,2
s1_00075.png,0,0,1,1,1
s1_00076.png,0,0,0,1,2
s1_00077.png,1,1,0,1,2
s1_00078.png,0,0,0,3,2
s1_00079.png,0,0,1,1,2
s1_00080.png,0,0,0,1,1
s1_00081.png,1,1,1,4,2
s1_00082.png,0,0,1,0,1
s1_00083.png,0,0,1,0,1
s1_00084.png,0,1,1,0,1
s1_00085.png,1,1,0,4,2
s1_00086.png,0,0,0,1,1
s1_00087.png,0,0,1,4,1
s1_00088.png,0,0,0,1,2
s1_00089.png,0,0,1,2,2
s1_00090.png,0,0,0,4,1
s1_00091.png,1,1,0,3,2
s1_00092.png,1,1,0,2,2
s1_00093.png,1,1,0,4,2
s1_00094.png,0,1,0,0,0
s1_00095.png,1,0,1,1,2
s1_00096.png,0,0,0,2,1
s1_00097.png,0,0,0,4,1
s1_00098.png,1,0,1,0,2
s1_00099.png,0,0,1,0,2
s1_00100.png,0,0,1,0,2
s1_00101.png,0,0,1,4,0
s1_00102.png,1,1,1,1,2
s1_00103.png,0,0,0,0,2
s1_00104.png,0,0,1,2,1
s1_00105.png,0,0,1,0,2
s1_00106.png,0,0,0,2,2
s1_00107.png,1,1,1,3,1
s1_00108.png,0,0,0,0,2
s1_00109.png,0,0,1,0,2
s1_00110.png,0,1,1,1,1
s1_00111.png,0,0,0,1,1
s1_00112.png,0,0,1,0,2
s1_00113.png,1,0,0,2,1
s1_00114.png,0,0,1,4,2
s1_00115.png,0,0,0,4,2
s1_00116.png,0,0,1,0,2
s1_00117.png,0,0,0,2,1
s1_00118.png,0,0,0,1,1
s1_00119.png,0,0,0,1,1
s1_00120.png,0,0,0,0,2
s1_00121.png,0,0,0,0,2
s1_00122.png,0,0,0,0,2
s1_00123.png,0,0,0,4,2
s1_00124.png,0,0,0,2,2
s1_00125.png,0,0,0,0,2
s1_00126.png,1,1,0,2,2
s1_00127.png,0,0,0,4,2
s1_00128.png,0,1,0,4,2
s1_00129.png,0,0,0,0,1
s1_00130.png,0,0,0,3,1
s1_00131.png,0,0,0,0,2
s1_00132.png,0,0,0,2,1
s1_00133.png,1,0,0,4,2
s1_00134.png,1,0,1,2,2
s1_00135.png,0,0,0,3,2
s1_00136.png,1,1,0,4,1
s1_00137.png,0,0,1,3,2
s1_00138.png,1,0,0,0,1
s1_00139.png,0,1,0,1,1
s1_00140.png,1,1,0,1,1
s1_00141.png,0,1,0,1,2
s1_00142.png,1,1,0,1,1
s1_00143.png,0,0,1,4,2
s1_00144.png,0,0,0,1,2
s1_00145.png,0,0,1,1,2
s1_00146.png,1,0,0,1,1
s1_00147.png,1,1,1,1,2
s1_00148.png,0,0,0,4,1
s1_00149.png,0,0,0,4,1
s1_00150.png,1,1,1,1,1
s1_00151.png,0,0,1,0,2
s1_00152.png,0,0,0,4,1
s1_00153.png,0,0,0,4,2
s1_00154.png,0,0,1,0,1
s1_00155.png,1,1,0,4,0
s1_00156.png,0,0,0,0,1
s1_00157.png,1,1,0,1,2
s1_00158.png,0,0,0,4,2
s1_00159.png,0,0,1,2,1
s1_00160.png,1,1,0,1,2
s1_00161.png,0,0,0,2,1
s1_00162.png,0,0,0,3,1
s1_00163.png,1,1,0,2,2
s1_00164.png,0,0,0,1,1
s1_00165.png,0,1,0,3,1
s1_00166.png,0,1,0,3,2
s1_00167.png,0,0,0,4,2
s1_00168.png,0,0,1,1,2
s1_00169.png,0,0,1,2,2
s1_00170.png,0,0,0,3,2
s1_00171.png,0,0,1,4,2
s1_00172.png,0,0,1,0,1
s1_00173.png,0,0,1,2,2
s1_00174.png,1,0,0,1,2
s1_00175.png,0,0,0,4,1
s1_00176.png,0,0,0,1,1
s1_00177.png,1,0,0,1,1
s1_00178.png,1,1,0,0,2
s1_00179.png,0,0,1,0,2
s1_00180.png,1,0,0,1,1
s1_00181.png,1,1,0,0,0
s1_00182.png,0,0,1,1,1
s1_00183.png,0,0,0,4,2
s1_00184.png,0,0,0,4,2
s1_00185.png,0,0,0,0,1
s1_00186.png,0,0,0,2,2
s1_00187.png,1,1,0,1,1
s1_00188.png,0,0,1,2,1
s1_00189.png,0,0,0,3,2
