image_name,barbe,moustache,lunettes,taille_cheveux,couleur_cheveux
s8_00000,0,1,1,2,0
s8_00001,0,1,1,2,2
s8_00002,1,0,0,2,0
s8_00003,1,1,1,2,1
s8_00004,1,1,1,1,1
s8_00005,1,0,0,1,0
s8_00006,0,0,0,2,1
s8_00007,1,1,1,0,3
s8_00008,1,1,0,1,2
s8_00009,1,0,1,1,0
s8_00010,0,0,1,2,0
s8_00011,1,1,1,2,4
s8_00012,1,1,1,2,0
s8_00013,1,1,1,2,1
s8_00014,0,0,0,1,4
s8_00015,0,0,0,2,0
s8_00016,0,0,1,1,0
s8_00017,0,0,0,1,3
s8_00018,1,1,1,1,1
s8_00019,0,0,0,1,0
s8_00020,1,0,0,1,1
s8_00021,1,0,1,2,1
s8_00022,1,1,1,2,3
s8_00023,0,0,1,2,2
s8_00024,0,0,0,1,0
s8_00025,0,0,0,2,1
s8_00026,1,1,0,1,0
s8_00027,0,0,0,2,1
s8_00028,0,0,0,2,4
s8_00029,0,0,0,1,1
s8_00030,0,0,0,1,0
s8_00031,1,1,1,1,0
s8_00032,0,0,1,2,4
s8_00033,1,1,1,1,4
s8_00034,1,1,1,2,1
s8_00035,1,0,0,2,0
s8_00036,0,0,0,1,1
s8_00037,0,0,0,2,0
s8_00038,0,0,1,2,0
s8_00039,0,0,0,1,1
s8_00040,1,1,1,1,1
s8_00041,1,1,1,1,0
s8_00042,0,0,1,2,3
s8_00043,0,0,0,1,2
s8_00044,0,0,1,1,0
s8_00045,1,0,0,1,1
s8_00046,1,1,0,2,0
s8_00047,0,0,0,2,1
s8_00048,0,0,0,2,4
s8_00049,1,0,0,2,1
s8_00050,1,0,0,1,1
s8_00051,1,1,1,2,1
s8_00052,0,1,0,1,2
s8_00053,0,0,1,2,1
s8_00054,1,1,0,2,0
s8_00055,1,1,1,1,2
s8_00056,0,0,1,1,4
s8_00057,1,1,1,2,4
s8_00058,1,0,1,0,0
s8_00059,0,1,0,2,3
s8_00060,0,0,0,2,1
s8_00061,0,0,0,2,4
s8_00062,1,1,1,2,0
s8_00063,1,1,1,2,4
s8_00064,1,1,0,1,0
s8_00065,0,0,0,2,4
s8_00066,0,0,1,1,1
s8_00067,0,0,1,2,0
s8_00068,1,1,1,2,4
s8_00069,1,1,0,2,4
s8_00070,0,0,0,2,2
s8_00071,0,0,0,0,1
s8_00072,0,0,1,0,0
s8_00073,0,0,0,1,4
s8_00074,0,1,1,2,3
s8_00075,1,0,0,2,1
s8_00076,0,0,0,2,1
s8_00077,0,0,0,1,0
s8_00078,0,0,1,2,4
s8_00079,1,1,1,2,0
s8_00080,1,1,1,2,4
s8_00081,1,0,1,2,0
s8_00082,0,0,1,1,3
s8_00083,0,0,1,2,0
s8_00084,1,1,1,2,4
s8_00085,0,0,1,1,2
s8_00086,0,0,0,2,3
s8_00087,1,1,0,0,0
s8_00088,1,1,1,2,3
s8_00089,0,0,1,1,2
s8_00090,1,1,0,0,1
s8_00091,1,0,1,1,0
s8_00092,0,0,1,1,3
s8_00093,1,0,0,1,0
s8_00094,0,0,1,0,0
s8_00095,0,0,1,2,4
s8_00096,1,0,0,2,4
s8_00097,1,1,0,1,0
s8_00098,0,0,1,1,0
s8_00099,0,0,0,2,4
s8_00100,1,0,1,2,0
s8_00101,1,1,1,1,1
s8_00102,1,1,0,1,1
s8_00103,1,0,0,2,1
s8_00104,1,1,0,2,3
s8_00105,0,0,1,2,2
s8_00106,0,0,1,1,2
s8_00107,1,1,0,2,1
s8_00108,0,0,0,1,1
s8_00109,1,1,0,1,1
s8_00110,1,1,1,1,1
s8_00111,0,0,1,1,0
s8_00112,0,0,1,1,0
s8_00113,1,1,0,2,1
s8_00114,0,0,1,2,0
s8_00115,1,1,0,2,2
s8_00116,1,0,1,1,1
s8_00117,0,0,0,2,1
s8_00118,0,0,1,2,1
s8_00119,0,0,0,2,4
s8_00120,0,0,1,2,0
s8_00121,1,1,1,1,1
s8_00122,0,0,0,2,4
s8_00123,1,0,1,2,1
s8_00124,0,0,1,1,4
s8_00125,1,1,0,2,1
s8_00126,1,1,1,2,0
s8_00127,1,1,0,2,0
s8_00128,0,0,0,1,1
s8_00129,1,1,0,2,0
s8_00130,1,0,0,2,2
s8_00131,1,0,1,2,1
s8_00132,1,1,1,1,2
s8_00133,0,0,0,2,0
s8_00134,0,0,1,2,0
s8_00135,1,0,1,2,4
s8_00136,0,1,1,2,3
s8_00137,1,1,1,1,4
s8_00138,1,1,0,1,2
s8_00139,1,0,1,2,1
s8_00140,1,0,0,2,1
s8_00141,0,0,1,1,1
s8_00142,1,1,1,2,1
s8_00143,0,0,1,2,3
s8_00144,1,1,1,1,4
s8_00145,0,0,1,1,2
s8_00146,0,0,1,2,2
s8_00147,0,1,0,2,4
s8_00148,0,0,1,2,0
s8_00149,0,0,0,1,0
s8_00150,0,0,1,2,3
s8_00151,1,1,1,2,1
s8_00152,0,0,1,2,0
s8_00153,0,0,1,1,0
s8_00154,0,0,1,1,4
s8_00155,0,1,0,2,0
s8_00156,1,1,0,1,1
s8_00157,1,0,1,2,0
s8_00158,1,0,1,0,1
s8_00159,1,0,1,2,4
s8_00160,0,0,0,1,1
s8_00161,0,0,1,1,0
s8_00162,1,1,0,1,4
s8_00163,0,0,0,2,1
s8_00164,0,0,1,2,3
s8_00165,0,0,0,2,2
s8_00166,0,0,1,1,4
s8_00167,1,1,0,1,0
s8_00168,1,1,0,2,1
s8_00169,0,0,1,2,4
s8_00170,1,1,1,2,3
s8_00171,0,0,0,1,0
s8_00172,1,1,0,1,0
s8_00173,0,0,1,2,4
s8_00174,1,0,1,1,4
s8_00175,0,0,1,1,0
s8_00176,0,0,0,2,1
s8_00177,0,0,1,2,1
s8_00178,0,0,0,1,1
s8_00179,0,0,0,2,1
s8_00180,0,0,0,2,1
s8_00181,1,1,0,2,1
s8_00182,0,0,1,1,3
s8_00183,1,1,1,1,3
s8_00184,1,0,1,2,4
s8_00185,1,0,1,0,3
s8_00186,0,0,1,2,1
s8_00187,0,0,1,1,3
s8_00188,1,1,1,2,4
s8_00189,1,0,1,1,1
s8_00190,1,1,1,0,0
s8_00191,1,1,0,2,2
s8_00192,0,0,0,1,0
s8_00193,0,0,1,1,4
s8_00194,1,1,0,2,4
s8_00195,0,0,0,0,0
s8_00196,0,0,1,0,4
s8_00197,0,0,0,1,1
s8_00198,0,0,1,2,1
s8_00199,1,1,1,2,0
s8_00200,0,0,1,2,1
s8_00201,1,1,1,1,0
s8_00202,0,0,0,2,4
s8_00203,0,0,0,2,0
s8_00204,0,0,0,2,1
s8_00205,1,1,1,1,1
s8_00206,1,1,1,1,1
s8_00207,0,0,0,1,4
s8_00208,0,0,1,2,1
s8_00209,0,0,1,1,4
s8_00210,0,0,0,2,1
s8_00211,1,1,0,1,4
s8_00212,1,1,0,1,1
s8_00213,0,0,1,2,3
s8_00214,0,0,1,1,1
s8_00215,0,0,0,2,4
s8_00216,0,0,1,1,1
s8_00217,0,0,1,1,4
s8_00218,1,1,0,0,3
s8_00219,1,1,1,2,4
s8_00220,0,0,1,1,2
s8_00221,1,1,1,1,1
s8_00222,0,0,0,2,0
s8_00223,1,1,0,1,1
s8_00224,0,0,0,2,0
s8_00225,1,1,1,2,0
s8_00226,1,1,0,2,4
s8_00227,1,0,0,2,1
s8_00228,1,1,0,2,0
s8_00229,1,0,1,2,0
s8_00230,1,0,1,1,4
s8_00231,0,0,1,2,4
s8_00232,1,1,0,2,4
s8_00233,1,0,1,1,4
s8_00234,0,0,0,1,3
s8_00235,0,0,0,2,1
s8_00236,0,0,0,2,4
s8_00237,1,1,1,1,4
s8_00238,1,1,0,1,1
s8_00239,0,0,0,2,0
s8_00240,0,0,1,2,2
s8_00241,0,0,0,1,4
s8_00242,0,0,1,0,1
s8_00243,0,0,1,1,4
s8_00244,1,1,1,2,1
s8_00245,1,1,1,1,3
s8_00246,0,0,1,2,1
s8_00247,0,0,0,2,0
s8_00248,0,0,0,2,1
s8_00249,0,0,1,2,0
s8_00250,0,0,0,2,0
s8_00251,0,0,1,1,3
s8_00252,0,0,0,2,2
s8_00253,0,0,0,0,3
s8_00254,1,1,0,2,4
s8_00255,0,0,0,2,4
s8_00256,1,1,1,2,0
s8_00257,1,1,0,0,4
s8_00258,0,0,0,0,1
s8_00259,0,0,1,1,0
s8_00260,0,0,1,2,2
s8_00261,1,1,0,1,1
s8_00262,0,0,1,1,1
s8_00263,0,0,1,2,1
s8_00264,0,0,0,1,1
s8_00265,1,1,0,1,1
s8_00266,0,0,0,2,1
s8_00267,1,1,1,0,0
s8_00268,1,0,0,2,1
s8_00269,0,0,0,2,1
s8_00270,1,1,0,1,2
s8_00271,1,1,0,2,1
s8_00272,0,0,0,2,1
